input,output
find python files,find . -name ".py"
find all python files,find . -name ".py"
search for python files,find . -name ".py"
locate python scripts,find . -name ".py"
look for files ending in .py,find . -name ".py"
list all .py files,find . -name ".py"
where are the python files,find . -name ".py"
find python files in current directory,find . -name ".py"
search for .py,find . -name ".py"
find every python file,find . -name ".py"
search for the word error in log.txt,grep "error" log.txt
find error in log.txt,grep "error" log.txt
look for error in log.txt,grep "error" log.txt
check for error in log.txt,grep "error" log.txt
search log.txt for error,grep "error" log.txt
filter error from log.txt,grep "error" log.txt
show lines with error in log.txt,grep "error" log.txt
grep for error in log.txt,grep "error" log.txt
find string error in log.txt,grep "error" log.txt
search for text error in log.txt,grep "error" log.txt
compress folder project,tar -czvf project.tar project
make a tarball of project,tar -czvf project.tar project
zip the project folder,tar -czvf project.tar project
archive project directory,tar -czvf project.tar project
create a compressed archive of project,tar -czvf project.tar project
compress directory project,tar -czvf project.tar project
tar the project folder,tar -czvf project.tar project
backup project folder into tar,tar -czvf project.tar project
package project folder,tar -czvf project.tar project
create project.tar from project,tar -czvf project.tar project
give execute permission to script.sh,chmod +x script.sh
make script.sh executable,chmod +x script.sh
allow execution of script.sh,chmod +x script.sh
set executable bit for script.sh,chmod +x script.sh
add execute rights to script.sh,chmod +x script.sh
enable running script.sh,chmod +x script.sh
change permission of script.sh to executable,chmod +x script.sh
chmod plus x script.sh,chmod +x script.sh
update script.sh to be executable,chmod +x script.sh
authorize execution of script.sh,chmod +x script.sh
delete file notes.txt,rm notes.txt
remove notes.txt,rm notes.txt
erase notes.txt,rm notes.txt
get rid of notes.txt,rm notes.txt
delete notes.txt,rm notes.txt
discard notes.txt,rm notes.txt
permanently remove notes.txt,rm notes.txt
destroy notes.txt,rm notes.txt
remove the file notes.txt,rm notes.txt
clear notes.txt,rm notes.txt
create directory downloads,mkdir downloads
make folder downloads,mkdir downloads
new directory downloads,mkdir downloads
create a new folder called downloads,mkdir downloads
add directory downloads,mkdir downloads
mkdir downloads,mkdir downloads
set up a downloads folder,mkdir downloads
generate a directory for downloads,mkdir downloads
build directory downloads,mkdir downloads
initialize folder downloads,mkdir downloads
list all files in directory,ls -a
show hidden files,ls -a
list files including hidden,ls -a
display all files,ls -a
show me everything in this folder,ls -a
list all contents,ls -a
ls all,ls -a
reveal hidden files,ls -a
show all directory items,ls -a
list all,ls -a
search for files larger than 100MB,find . -size +100M
find large files over 100MB,find . -size +100M
locate files bigger than 100MB,find . -size +100M
look for files > 100MB,find . -size +100M
find files with size greater than 100M,find . -size +100M
list files over 100MB,find . -size +100M
search for huge files 100MB,find . -size +100M
identify files bigger than 100MB,find . -size +100M
find files >100M,find . -size +100M
check for files larger than 100MB,find . -size +100M
show running processes,ps aux
list all processes,ps aux
display system processes,ps aux
what is running right now,ps aux
check active processes,ps aux
show me all tasks,ps aux
list processes aux,ps aux
view running tasks,ps aux
monitor processes,ps aux
print process list,ps aux
kill process 1234,kill 1234
stop process 1234,kill 1234
terminate process 1234,kill 1234
end task 1234,kill 1234
force close process 1234,kill 1234
kill pid 1234,kill 1234
shutdown process 1234,kill 1234
kill job 1234,kill 1234
stop pid 1234,kill 1234
terminate pid 1234,kill 1234
check disk usage,df -h
show disk space,df -h
how much disk space is left,df -h
display drive usage,df -h
check free space,df -h
show filesystem usage,df -h
list disk partitions,df -h
check storage capacity,df -h
view disk status,df -h
how full is my hard drive,df -h
search for text in all files,grep -r "text" .
find text recursively,grep -r "text" .
search for text in current folder and subfolders,grep -r "text" .
grep all files for text,grep -r "text" .
locate text in every file,grep -r "text" .
search text everywhere,grep -r "text" .
recursively search for text,grep -r "text" .
find word text in directory,grep -r "text" .
search for string text in all files,grep -r "text" .
grep text in this directory,grep -r "text" .
change file owner to root,chown root file.txt
make root the owner of file.txt,chown root file.txt
set owner root for file.txt,chown root file.txt
change ownership of file.txt to root,chown root file.txt
chown root file.txt,chown root file.txt
assign file.txt to root,chown root file.txt
give root ownership of file.txt,chown root file.txt
update owner of file.txt to root,chown root file.txt
set file.txt owner as root,chown root file.txt
change owner to root for file.txt,chown root file.txt
check memory usage,free -m
show free memory,free -m
how much ram is used,free -m
display memory status,free -m
check available ram,free -m
view memory stats,free -m
show memory in megabytes,free -m
check ram usage,free -m
memory usage overview,free -m
check swap and memory,free -m
find files modified in last 24 hours,find . -mtime -1
search for files changed today,find . -mtime -1
locate files edited in the last day,find . -mtime -1
find files from the last 24 hours,find . -mtime -1
look for files modified yesterday,find . -mtime -1
find new files from last 24h,find . -mtime -1
search for recently changed files,find . -mtime -1
list files modified within 1 day,find . -mtime -1
show files updated in last 24 hours,find . -mtime -1
check for files modified in 24 hours,find . -mtime -1
show network connections,netstat -an
list network ports,netstat -an
check active connections,netstat -an
display network status,netstat -an
view open ports,netstat -an
show all network sockets,netstat -an
netstat all,netstat -an
check network traffic,netstat -an
list internet connections,netstat -an
monitor network ports,netstat -an
extract archive.tar.gz,tar -xzvf archive.tar.gz
unzip archive.tar.gz,tar -xzvf archive.tar.gz
unpack archive.tar.gz,tar -xzvf archive.tar.gz
